employee_id,payment_date,sg_amount,remitted_date,fund_received_date,first_contribution_to_fund,out_of_cycle,next_standard_payday,defined_benefit,remitted_amount,matched_amount
EMP001,2026-07-09,612.00,2026-07-14,2026-07-16,no,no,,no,,612.00
EMP002,2026-07-09,540.00,2026-07-30,2026-08-04,no,no,,no,,540.00
EMP003,2026-07-09,318.00,2026-07-15,,no,no,,no,,
EMP004,2026-07-09,780.00,,,no,no,,no,,
EMP005,2026-07-09,450.00,2026-08-03,2026-08-05,yes,no,,no,,450.00
EMP006,2026-07-15,120.00,2026-07-30,2026-07-31,no,yes,2026-07-23,no,,120.00
EMP007,2026-07-09,900.00,2026-07-13,2026-07-13,no,no,,yes,,900.00
EMP001,2026-07-23,612.00,2026-08-05,2026-08-06,no,no,,no,,612.00
EMP002,2026-07-23,540.00,2026-07-28,2026-07-30,no,no,,no,,540.00
EMP005,2026-07-23,450.00,2026-08-05,2026-08-06,no,no,,no,,450.00
